Tell me about the Witcher series,"The Witcher is a fantasy universe created by Polish Author Andrzej Sapkowski. However, the series is most popular for the games set in its universe. "
Tell me about the Witcher world,"The Withcer takes place on an unnamed planet that most of the characters refering to it as th World, the Earth or the Globe. "
Tell me about Geralt of Rivia,Geralt of Rivia is a Witcher and the main protaganist of the Witcher series. 
Who is the main character in the Witcher,Geralt of Rivia is the main character in the witcher
What do you do chatbot,I'm here to talk to you about the Witcher. Specifically The Withcer 3: The Wild Hunt game. Ask my what ever you like and I'll try my best to answer it!
describe define What is a Witcher,A Witcher is a human that has undergone severe genetic mutations and rigerous training in a Witcher school. Most Witchers use there abilities and training to become monster hunters for hire.
What does Geralt call his horse,Geralt calls his horse Roach
Which Witcher school did Geralt go to,Geralt was trained in the School of the Wolf at Kaer Morhen
How many witcher schools are there,"There are 7 Witcher schools. School of the Bear, Cat, Crane, Griffin, Manticore, Viper and Wolf"
What mutations to Witchers go through,"The witcher trials are primarily a series of three grueling stages in the witcher training process. First comes The Choice, which involves dietary changes and grueling physical training. Young witchers are taught sword skill, monster lore and herbalism. The main trials are as follows:The Trial of the Grasses, which involved consuming various alchemical ingredients, or ""the grasses"" and affected the nervous system, The Trial of the Dreams, which involved the mutation of the eyes, bone marrow and hormones, allowed for better night vision, among other benefits. It also resulted in infertility. The Trial of the Mountains, The Trial of Forest Eyes, where they are blindfolded and tied up in the woods to find their way back to the camp"
Why do Witchers have two swords,"Witchers carry a Steel sword for humans and Beasts, and a Silver sword for monsters"
What powers do Witchers get from their mutations,"As a result of the mutations, Witchers benefit from  greater strength, speed, endurance, resilience, healing, senses, complete immunity to diseases and conventional poisons, and extreme resistance to pain. "
